story,sentence,TP,FP,FN,precision,recall,f1
story_171,sora appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_172,sora appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_173,sora appears in disney castle.,1,0,0,1.0,1.0,1.0
story_174,sora appears in halloween town.,1,0,0,1.0,1.0,1.0
story_175,sora appears in land of dragons.,1,0,0,1.0,1.0,1.0
story_176,sora appears in port royal.,1,0,0,1.0,1.0,1.0
story_177,sora appears in pride lands.,1,0,0,1.0,1.0,1.0
story_178,sora appears in radiant garden.,1,0,0,1.0,1.0,1.0
story_179,sora appears in timeless river.,1,0,0,1.0,1.0,1.0
story_180,sora appears in twilight town.,1,0,0,1.0,1.0,1.0
story_181,sora can perform aerial dodge.,1,0,0,1.0,1.0,1.0
story_182,sora can perform aerial recovery.,1,0,0,1.0,1.0,1.0
story_183,sora can perform blizzard.,1,0,0,1.0,1.0,1.0
story_184,sora can perform combo plus.,1,0,0,1.0,1.0,1.0
story_185,sora can perform cure.,1,0,0,1.0,1.0,1.0
story_186,sora can perform dodge roll.,1,0,0,1.0,1.0,1.0
story_187,sora can perform emergency.,1,0,0,1.0,1.0,1.0
story_188,sora can perform fire.,1,0,0,1.0,1.0,1.0
story_189,sora can perform glide.,1,0,0,1.0,1.0,1.0
story_190,sora can perform guard break.,1,0,0,1.0,1.0,1.0
story_191,sora can perform guard.,1,0,0,1.0,1.0,1.0
story_192,sora can perform high jump.,1,0,0,1.0,1.0,1.0
story_193,sora can perform magnet.,1,0,0,1.0,1.0,1.0
story_194,sora can perform mprage.,1,0,0,1.0,1.0,1.0
story_195,sora can perform reflect.,1,0,0,1.0,1.0,1.0
story_196,sora can perform scan.,1,0,0,1.0,1.0,1.0
story_197,sora can perform second chance.,1,0,0,1.0,1.0,1.0
story_198,sora can perform thunder.,1,0,0,1.0,1.0,1.0
story_199,sora comes from destiny islands.,1,0,0,1.0,1.0,1.0
story_200,sora defeats armored knight.,1,0,0,1.0,1.0,1.0
story_201,sora defeats assassin.,1,0,0,1.0,1.0,1.0
story_202,sora defeats axel.,1,0,0,1.0,1.0,1.0
story_203,sora defeats dancer.,1,0,0,1.0,1.0,1.0
story_204,sora defeats demyx.,1,0,0,1.0,1.0,1.0
story_205,sora defeats gambler.,1,0,0,1.0,1.0,1.0
story_206,sora defeats ghost pirate.,1,0,0,1.0,1.0,1.0
story_207,sora defeats groundshaker.,1,0,0,1.0,1.0,1.0
story_208,sora defeats larxene.,1,0,0,1.0,1.0,1.0
story_209,sora defeats lexaeus.,1,0,0,1.0,1.0,1.0
story_210,sora defeats luxord.,1,0,0,1.0,1.0,1.0
story_211,sora defeats marluxia.,1,0,0,1.0,1.0,1.0
story_212,sora defeats mulan dragon.,1,0,0,1.0,1.0,1.0
story_213,sora defeats neoshadow.,1,0,0,1.0,1.0,1.0
story_214,sora defeats roxas.,1,0,0,1.0,1.0,1.0
story_215,sora defeats sephiroth.,1,0,0,1.0,1.0,1.0
story_216,sora defeats shadow.,1,0,0,1.0,1.0,1.0
story_217,sora defeats sniper.,1,0,0,1.0,1.0,1.0
story_218,sora defeats vexen.,1,0,0,1.0,1.0,1.0
story_219,sora defeats xaldin.,1,0,0,1.0,1.0,1.0
story_220,sora defeats xemnas final form.,1,0,0,1.0,1.0,1.0
story_221,sora defeats xemnas.,1,0,0,1.0,1.0,1.0
story_222,sora defeats xigbar.,1,0,0,1.0,1.0,1.0
story_223,sora defeats zexion.,1,0,0,1.0,1.0,1.0
story_224,sora has in the inventory bright gem.,1,0,0,1.0,1.0,1.0
story_225,sora has in the inventory dark gem.,1,0,0,1.0,1.0,1.0
story_226,sora has in the inventory elixir.,1,0,0,1.0,1.0,1.0
story_227,sora has in the inventory ether.,1,0,0,1.0,1.0,1.0
story_228,sora has in the inventory lunar gem.,1,0,0,1.0,1.0,1.0
story_229,sora has in the inventory mega elixir.,1,0,0,1.0,1.0,1.0
story_230,sora has in the inventory mega ether.,1,0,0,1.0,1.0,1.0
story_231,sora has in the inventory mega potion.,1,0,0,1.0,1.0,1.0
story_232,sora has in the inventory potion.,1,0,0,1.0,1.0,1.0
story_233,sora has the drive form anti fusion.,1,0,0,1.0,1.0,1.0
story_234,sora has the drive form final form.,1,0,0,1.0,1.0,1.0
story_235,sora has the drive form limit form.,1,0,0,1.0,1.0,1.0
story_236,sora has the drive form master form.,1,0,0,1.0,1.0,1.0
story_237,sora has the drive form valor form.,1,0,0,1.0,1.0,1.0
story_238,sora has the drive form wisdom form.,1,0,0,1.0,1.0,1.0
story_239,sora owns the keyblade 2 become one.,1,0,0,1.0,1.0,1.0
story_240,sora owns the keyblade circle of life.,1,0,0,1.0,1.0,1.0
story_241,sora owns the keyblade fenrir.,1,0,0,1.0,1.0,1.0
story_242,sora owns the keyblade follow the wind.,1,0,0,1.0,1.0,1.0
story_243,sora owns the keyblade kingdom chain.,1,0,0,1.0,1.0,1.0
story_244,sora owns the keyblade lucky charm.,1,0,0,1.0,1.0,1.0
story_245,sora owns the keyblade photonic debugger.,1,0,0,1.0,1.0,1.0
story_246,sora owns the keyblade seagull wing.,1,0,0,1.0,1.0,1.0
story_247,sora owns the keyblade star seeker.,1,0,0,1.0,1.0,1.0
story_248,sora owns the keyblade sweet memories.,1,0,0,1.0,1.0,1.0
story_249,sora owns the keyblade ultima weapon.,1,0,0,1.0,1.0,1.0
story_250,vexen is a member of organization13.,1,0,0,1.0,1.0,1.0
story_251,xaldin is a member of organization13.,1,0,0,1.0,1.0,1.0
story_252,xemnas is a member of organization13.,1,0,0,1.0,1.0,1.0
story_253,xigbar is a member of organization13.,1,0,0,1.0,1.0,1.0
story_254,zexion is a member of organization13.,1,0,0,1.0,1.0,1.0
